rank,feature,gradient_boosting_importance,random_forest_importance,permutation_importance_mean,permutation_importance_std,correlation_with_success,absolute_correlation,gb_importance_normalized,rf_importance_normalized,permutation_importance_normalized,correlation_normalized,overall_importance_score
11,Min_Altitude_m,0.007026506922841261,0.028558592961251503,0.002429341303908328,0.0010032623314976217,0.05663407672998209,0.05663407672998209,0.02620384057636202,0.11562976456351721,0.014795623867101653,0.45203549485730604,0.0871506111530041
12,Migration_Reason,0.023263312536095353,0.022814915960530393,0.01883192840473703,0.0013236705247068787,,,0.08675550165507154,0.07779213514790591,0.1146936945090491,0.0,0.08561747736166511
13,Start_Latitude,0.013343800700350796,0.027928145302885267,0.0049729012882078205,0.0009500517195560038,0.03977161964615616,0.03977161964615616,0.04976282384325197,0.11147656359831555,0.03028688347338314,0.3174446341509634,0.0851428606833349
14,Flight_Distance_km,0.011231551611442831,0.02906752159518451,0.0048410025487388595,0.0006510054540341263,-0.031631279878697155,0.031631279878697155,0.04188564689158832,0.11898243447293812,0.029483569367379194,0.25247098705446375,0.07787765066974012
15,End_Latitude,0.006241316047588359,0.027965046035415053,0.001673244043539479,0.0006305761703965653,0.0384055153351129,0.0384055153351129,0.023275640726411338,0.1117196546082124,0.010190700444704824,0.3065408166275779,0.06913343268838097
16,Migration_Start_Month,0.01752235156830659,0.02519201568482356,0.011021220177477597,0.002259401160960687,,,0.06534582717428085,0.09345175849379816,0.06712347418624517,0.0,0.06645990374091962
17,Humidity_%,0.008020876295427002,0.02851455640687584,0.003107655553773603,0.0005934218218681457,0.014225555853122218,0.014225555853122218,0.029912126471385046,0.11533966488956315,0.018926818808115396,0.11354393946148791,0.05578733469279548
18,Rest_Stops,0.005019557390992387,0.01602598975852564,0.001833418843561274,0.00045602874857546136,0.03406768931647014,0.03406768931647014,0.01871935558903251,0.03306871603343639,0.011166226646106836,0.27191764548821323,0.04498292956002757
19,End_Longitude,0.007406128950278343,0.02791641620311471,0.0016792944573473466,0.0007398357211912355,0.005655250982751884,0.005655250982751884,0.02761955896893911,0.111399295790526,0.010227549794278515,0.045138445334223475,0.04422917859973306
20,Start_Longitude,0.00786905408987778,0.027347728119315767,0.0033806075421335623,0.0006597067078096251,0.0012562842475637831,0.0012562842475637831,0.029345938333545027,0.10765294846543146,0.020589201507102292,0.010027268109913313,0.04392596595489851
21,Pressure_hPa,0.00670494625466477,0.027096113076391877,0.0026385379476830174,0.0006106926511199108,-0.004551706841239001,0.004551706841239001,0.02500464948795162,0.10599538367751736,0.01606971197097195,0.03633030099942636,0.04325767005554764
22,Migration_End_Month,0.0020626926010359706,0.022604830299915057,0.0001877919520086868,0.00035226383279087284,,,0.007692366729175877,0.07640815353283617,0.0011437252899455838,0.0,0.02181005225344276
23,Species,0.002756016757032301,0.01985522247383749,0.000142886571778722,0.0007421411694792733,,,0.010277969483285484,0.05829455801757203,0.0008702342352210585,0.0,0.017961612331706022
24,Origin,0.001828500706544656,0.017209215985124423,0.0015417899619029729,0.00039991672520118925,,,0.006818998619684975,0.04086345718466339,0.009390094476099264,0.0,0.015548096948706082
25,Region,0.0013869655498259968,0.017178318701926053,0.0016070491811933207,0.0006225897556180645,,,0.0051723885782283706,0.0406599151067467,0.009787548247180054,0.0,0.015142337236668205
26,Habitat,0.0020259057594246965,0.01715803898786633,0.0009137706316597715,0.0005791669575926744,,,0.007555178145506209,0.0405263184046428,0.005565214959746983,0.0,0.014345958280724005
27,Migrated_in_Flock,0.0,0.011006224338278121,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
